year,nav_gross,nav_net,management_fee,performance_fee,total_fees,cumulative_fees,fee_drag
0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0
1,12094085.475420218,11498515.696532812,220940.85475420218,374628.9241332032,595569.7788874054,595569.7788874054,4.924471388083294
2,13244383.282689204,12180711.60831913,240906.831139379,170548.97794657946,411455.80908595846,1007025.5879733639,8.03111516532691
3,16377791.620965749,14268174.701761466,272431.8392266786,521865.77336058434,794297.6125872629,1801323.2005606268,12.880960803675714
4,22833022.427218445,18493882.07113277,341600.8445983542,1056426.8423428263,1398027.6869411804,3199350.887501807,19.00379316806143
5,24610627.852320634,19338295.987677697,384275.5710903707,211103.47913623156,595379.0502266022,3794729.937728409,21.422988053292542
6,26526696.842087913,20221310.341000155,401821.8173435199,220753.58833061458,622575.4056741345,4417305.343402544,23.769964796685414
7,37250334.392237306,26372078.45775151,486172.53361555055,1537692.029187838,2023864.5628033886,6441169.906205933,29.203109480683604
8,46866070.570634924,31341777.836585883,595517.9913034948,1242424.8447085933,1837942.8360120882,8279112.742218021,33.124801258196726
9,48529563.49269118,31721381.035763822,637960.1987085273,94900.79979448543,732860.9985030127,9011973.740721034,34.63493435183847
10,59092547.48689855,36682204.06558861,703472.6349374609,1240205.7574561962,1943678.392393657,10955652.133114692,37.92414504769583
